mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
166.44192199707032,0.3892261220021087,0.015747785568237305,0.0008334541737652716,3,100,0,"{'max_depth': 3, 'n_estimators': 100, 'reg_lambda': 0}",0.8533333333333334,0.8580952380952381,0.8585714285714285,0.8583333333333333,0.8597619047619047,0.8576190476190476,0.002218250418828942,17
168.51741647720337,1.6542231600736488,0.015668344497680665,0.0013361312622390108,3,100,100,"{'max_depth': 3, 'n_estimators': 100, 'reg_lambda': 100}",0.8533333333333334,0.8580952380952381,0.855,0.8566666666666667,0.8609523809523809,0.8568095238095237,0.0026151486129039753,18
255.56885962486268,0.48099567801472687,0.0181610107421875,0.0012464839111156983,3,150,0,"{'max_depth': 3, 'n_estimators': 150, 'reg_lambda': 0}",0.8583333333333333,0.8592857142857143,0.8626190476190476,0.8630952380952381,0.8640476190476191,0.8614761904761904,0.0022456811662003215,13
253.40027298927308,2.295494462757548,0.018459415435791014,0.0022705292328181748,3,150,100,"{'max_depth': 3, 'n_estimators': 150, 'reg_lambda': 100}",0.86,0.8602380952380952,0.8628571428571429,0.8607142857142858,0.8602380952380952,0.8608095238095238,0.0010497813183356552,15
334.24261727333067,0.5411647334231463,0.023859262466430664,0.0033893261889427445,3,200,0,"{'max_depth': 3, 'n_estimators': 200, 'reg_lambda': 0}",0.8635714285714285,0.8630952380952381,0.8645238095238095,0.8621428571428571,0.8690476190476191,0.8644761904761904,0.002411235981175663,8
336.21887893676757,2.64747181979502,0.022924518585205077,0.0038768027306826124,3,200,100,"{'max_depth': 3, 'n_estimators': 200, 'reg_lambda': 100}",0.861904761904762,0.8628571428571429,0.8635714285714285,0.8635714285714285,0.8623809523809524,0.8628571428571428,0.0006563832739090365,12
181.8517818927765,0.4414457196453294,0.01757340431213379,0.0013299928254443562,4,100,0,"{'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 0}",0.8640476190476191,0.8614285714285714,0.8638095238095238,0.8621428571428571,0.8642857142857143,0.8631428571428572,0.0011408712905439152,11
183.44836053848266,1.57691876689306,0.017919015884399415,0.002953432296781514,4,100,100,"{'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 100}",0.8576190476190476,0.8607142857142858,0.8628571428571429,0.8602380952380952,0.8609523809523809,0.8604761904761904,0.001683587574253691,16
266.80196199417117,0.2976604692858469,0.024049997329711914,0.0020619960099322572,4,150,0,"{'max_depth': 4, 'n_estimators': 150, 'reg_lambda': 0}",0.8659523809523809,0.8657142857142858,0.8690476190476191,0.866904761904762,0.8680952380952381,0.8671428571428572,0.0012688488185213607,4
271.0523697376251,0.5130601577487705,0.022983455657958986,0.002756816652736909,4,150,100,"{'max_depth': 4, 'n_estimators': 150, 'reg_lambda': 100}",0.8626190476190476,0.8633333333333333,0.8633333333333333,0.8645238095238095,0.866904761904762,0.8641428571428571,0.0015103572883003792,10
353.5643245220184,1.027885523232559,0.025562524795532227,0.0013388138812246153,4,200,0,"{'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 0}",0.8676190476190476,0.8657142857142858,0.8695238095238095,0.8676190476190476,0.8678571428571429,0.8676666666666666,0.001208435956233256,2
360.89559292793274,0.25255246978232426,0.025867414474487305,0.0034229909671718247,4,200,100,"{'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 100}",0.8616666666666667,0.8661904761904762,0.8659523809523809,0.8690476190476191,0.8683333333333333,0.8662380952380951,0.002579352869323959,6
191.85324034690856,0.15652786508766905,0.022307538986206056,0.002795867170529098,5,100,0,"{'max_depth': 5, 'n_estimators': 100, 'reg_lambda': 0}",0.8633333333333333,0.8628571428571429,0.8673809523809524,0.8640476190476191,0.87,0.8655238095238096,0.0027413024694522368,7
199.94113183021545,0.28422461972763197,0.022179937362670897,0.0036025651930475717,5,100,100,"{'max_depth': 5, 'n_estimators': 100, 'reg_lambda': 100}",0.8592857142857143,0.8597619047619047,0.8630952380952381,0.8633333333333333,0.8611904761904762,0.8613333333333333,0.0016605329308726335,14
280.18806114196775,0.45485992963296507,0.0283355712890625,0.003911469733357435,5,150,0,"{'max_depth': 5, 'n_estimators': 150, 'reg_lambda': 0}",0.8654761904761905,0.8676190476190476,0.8647619047619047,0.8688095238095238,0.8711904761904762,0.8675714285714285,0.0023201767076342526,3
299.9300649166107,0.443304868206257,0.02989368438720703,0.0032633160106380807,5,150,100,"{'max_depth': 5, 'n_estimators': 150, 'reg_lambda': 100}",0.8623809523809524,0.8623809523809524,0.865,0.8652380952380953,0.8661904761904762,0.8642380952380952,0.001567816917443277,9
365.03600268363954,0.5144079449838757,0.03676753044128418,0.0032634494716231575,5,200,0,"{'max_depth': 5, 'n_estimators': 200, 'reg_lambda': 0}",0.8683333333333333,0.8690476190476191,0.865,0.8688095238095238,0.8735714285714286,0.8689523809523809,0.0027338476370299654,1
398.56347527503965,0.589196581207133,0.039361095428466795,0.00395934278362025,5,200,100,"{'max_depth': 5, 'n_estimators': 200, 'reg_lambda': 100}",0.865,0.8630952380952381,0.8678571428571429,0.8664285714285714,0.8695238095238095,0.8663809523809525,0.002225394561056726,5
